Time,/RHipRoll/,/LKneePitch/,/LHipPitch/,/RKneePitch/,/LAnklePitch/,/LHipYawPitch/,/RAnkleRoll/,/RHipPitch/,/LHipRoll/,/LAnkleRoll/,/RAnklePitch/
2.05561,0.00501938,1.14824,-0.675951,1.14843,-0.577026,-0.000773907,-0.00504823,-0.67535,0.00489018,-0.00504351,-0.577851
2.06561,0.0104215,1.14587,-0.677195,1.14628,-0.574011,-0.00160949,-0.0104814,-0.675921,0.0101508,-0.0104703,-0.575747
2.07563,0.0153393,1.14365,-0.678341,1.14425,-0.571199,-0.00237642,-0.0154275,-0.676393,0.0149341,-0.0154076,-0.573814
2.08576,0.0202639,1.14135,-0.679503,1.14216,-0.568317,-0.00315066,-0.0203806,-0.67682,0.0197184,-0.0203489,-0.571862
2.09579,0.0253941,1.13888,-0.680738,1.13988,-0.565223,-0.00396686,-0.0255409,-0.677201,0.024694,-0.0254927,-0.569803
2.10578,0.0307298,1.13624,-0.682047,1.1374,-0.561916,-0.00482501,-0.0309086,-0.677536,0.0298609,-0.030839,-0.567635
2.11583,0.0365315,1.13332,-0.683511,1.13459,-0.558222,-0.00576906,-0.0367456,-0.677838,0.03547,-0.0366484,-0.565244
2.126,0.0427992,1.13011,-0.68513,1.13146,-0.554141,-0.00679902,-0.0430519,-0.678106,0.0415213,-0.0429208,-0.562628
2.13586,0.0494324,1.12663,-0.686916,1.12803,-0.549694,-0.0079031,-0.0497262,-0.678315,0.0479149,-0.0495545,-0.559808
2.14593,0.0564312,1.12289,-0.688868,1.1243,-0.544881,-0.00908129,-0.0567686,-0.678464,0.0546506,-0.0565495,-0.556785
2.156,0.0637672,1.1189,-0.691023,1.12023,-0.539692,-0.0103324,-0.0641511,-0.678538,0.0616996,-0.0638782,-0.553554
2.16613,0.0714404,1.11467,-0.693381,1.1158,-0.534125,-0.0116565,-0.0718737,-0.678485,0.069062,-0.0715404,-0.550116
2.17603,0.0793827,1.11026,-0.695979,1.11104,-0.528204,-0.0130454,-0.079868,-0.678431,0.0766709,-0.0794689,-0.546483
2.18684,0.0875942,1.10569,-0.69882,1.10595,-0.521928,-0.0144991,-0.088134,-0.678377,0.0845263,-0.0876636,-0.542654
2.19605,0.0959446,1.10107,-0.701927,1.1006,-0.515371,-0.0159988,-0.0965402,-0.678228,0.0925023,-0.0959951,-0.538668
2.20599,0.104434,1.09642,-0.705301,1.09501,-0.508533,-0.0175445,-0.105087,-0.677985,0.100599,-0.104463,-0.534523
2.21621,0.11293,1.09182,-0.708931,1.08921,-0.501524,-0.0191154,-0.113641,-0.677683,0.108694,-0.112941,-0.530269
2.22625,0.121434,1.08729,-0.712816,1.08321,-0.494343,-0.0207115,-0.122204,-0.677324,0.116786,-0.121428,-0.525906
2.23615,0.129837,1.08292,-0.716944,1.07708,-0.487097,-0.0223147,-0.130666,-0.676918,0.124777,-0.129821,-0.521478
2.24629,0.138139,1.07871,-0.721315,1.07083,-0.479786,-0.0239249,-0.139029,-0.676466,0.132666,-0.13812,-0.516986
2.25618,0.146262,1.07475,-0.725922,1.06453,-0.472501,-0.0255278,-0.147212,-0.675981,0.140379,-0.14625,-0.51247
2.27628,0.161914,1.0677,-0.735833,1.05187,-0.458086,-0.0287,-0.162984,-0.674931,0.155233,-0.16195,-0.503403
2.28634,0.169389,1.06467,-0.741124,1.04554,-0.45103,-0.0302579,-0.170517,-0.674381,0.162323,-0.169466,-0.498891
2.29671,0.176592,1.06205,-0.746622,1.03925,-0.444139,-0.0317882,-0.177778,-0.67383,0.169162,-0.176729,-0.494426
2.30641,0.183524,1.05982,-0.752327,1.03302,-0.437413,-0.0332907,-0.184766,-0.673277,0.175747,-0.183736,-0.490009
2.31639,0.190166,1.05801,-0.758217,1.0269,-0.430901,-0.0347597,-0.191463,-0.672733,0.182071,-0.190477,-0.485664
2.32636,0.196518,1.05664,-0.764291,1.0209,-0.424602,-0.036195,-0.197869,-0.6722,0.188132,-0.19695,-0.481391
2.33644,0.202589,1.05567,-0.770519,1.01503,-0.418543,-0.0375949,-0.203992,-0.671688,0.19394,-0.203166,-0.477206
2.3464,0.208378,1.05512,-0.7769,1.00931,-0.412724,-0.0389592,-0.209834,-0.671199,0.199494,-0.209125,-0.473108
2.35644,0.213907,1.05496,-0.783416,1.00374,-0.407146,-0.0402883,-0.215413,-0.670738,0.204816,-0.214845,-0.46911
2.36667,0.219176,1.05519,-0.790065,0.998328,-0.401809,-0.0415821,-0.220731,-0.670306,0.209905,-0.220328,-0.46521
2.37661,0.224209,1.0558,-0.796837,0.993074,-0.396696,-0.042842,-0.225811,-0.669904,0.214788,-0.225598,-0.461417
2.3865,0.229006,1.05679,-0.803732,0.987983,-0.391809,-0.0440679,-0.230652,-0.669531,0.219463,-0.230653,-0.45773
2.39667,0.233585,1.05812,-0.810726,0.983062,-0.387126,-0.0452608,-0.235274,-0.669191,0.223951,-0.235514,-0.45415
2.40667,0.238382,1.05995,-0.818529,0.977837,-0.3822,-0.0465367,-0.240116,-0.668854,0.228681,-0.240648,-0.45033
2.41668,0.242503,1.06196,-0.825711,0.973295,-0.377943,-0.047658,-0.244278,-0.66859,0.232777,-0.245103,-0.446987
2.42666,0.246465,1.0642,-0.832953,0.968891,-0.373834,-0.0487537,-0.248279,-0.668354,0.236736,-0.249415,-0.443732
2.43675,0.250211,1.06674,-0.840256,0.964695,-0.369921,-0.049812,-0.252063,-0.66816,0.240508,-0.25353,-0.440611
2.44674,0.253812,1.06948,-0.847598,0.960636,-0.366139,-0.0508453,-0.255702,-0.667994,0.244153,-0.257513,-0.437579
2.45681,0.257213,1.07243,-0.854969,0.956782,-0.362525,-0.051842,-0.259138,-0.667866,0.247628,-0.261315,-0.434679
