Time,RAnkleRoll,LHipYawPitch,RKneePitch,LKneePitch,RHipRoll,LHipRoll,LHipPitch,LAnklePitch,RHipPitch,LAnkleRoll,RAnklePitch,LFoot/FSR/FrontRight/Sensor/Value,LFoot/FSR/RearLeft/Sensor/Value,LFoot/FSR/FrontLeft/Sensor/Value,LFoot/FSR/RearRight/Sensor/Value,RFoot/FSR/FrontLeft/Sensor/Value,RFoot/FSR/FrontRight/Sensor/Value,RFoot/FSR/RearRight/Sensor/Value,RFoot/FSR/RearLeft/Sensor/Value
1.05273,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.016321,0.556036,0.270494,0,0.157589,0.54974,0.370018,0
1.06269,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0158042,0.556036,0.269979,0,0.158193,0.550953,0.373629,0
1.07273,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0159761,0.554515,0.270494,0,0.158799,0.552171,0.373023,0
1.08278,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0165807,0.553002,0.269464,0,0.157388,0.55462,0.373023,0
1.09286,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0167543,0.554515,0.269464,0,0.15779,0.553393,0.372419,0
1.10294,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0164074,0.556036,0.269979,0,0.158799,0.553393,0.371817,0
1.11285,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0167543,0.556036,0.271529,0,0.158799,0.553393,0.370616,0
1.12298,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0165807,0.557563,0.269979,0,0.157991,0.555852,0.370018,0
1.13291,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0158901,0.557563,0.270494,0,0.16002,0.555852,0.370018,0
1.14291,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0169283,0.559098,0.273091,0,0.159816,0.55462,0.369421,0
1.15298,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0160622,0.557563,0.272569,0,0.158799,0.555852,0.370018,0
1.16298,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0162346,0.557563,0.273091,0,0.159816,0.555852,0.371817,0
1.17301,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0165807,0.557563,0.272049,0,0.159205,0.555852,0.372419,0
1.18306,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.016494,0.557563,0.272569,0,0.160839,0.555852,0.371215,0
1.19317,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0162346,0.557563,0.272569,0,0.159205,0.55462,0.372419,0
1.2061,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.016321,0.560641,0.274664,0,0.159408,0.555852,0.373629,0
1.21323,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.016321,0.560641,0.274664,0,0.159408,0.555852,0.373629,0
