Time, RHipRoll/ , LKneePitch/ , LHipPitch/ , RKneePitch/ , LAnklePitch/ , LHipYawPitch/ , RAnkleRoll/ , RHipPitch/ , LHipRoll/ , LAnkleRoll/ , RAnklePitch/ 
1.76491,-0.310772,1.07412,-0.675472,1.04385,-0.548484,0.0639131,0.283014,-0.419252,-0.313634,0.316324,-0.773814
1.77493,-0.317039,1.07058,-0.672956,1.04888,-0.54902,0.065689,0.280605,-0.424307,-0.319176,0.321927,-0.775362
1.7851,-0.323213,1.0671,-0.670517,1.05411,-0.549523,0.0674402,0.278127,-0.429504,-0.324596,0.327406,-0.776954
1.79496,-0.329017,1.06388,-0.668385,1.06016,-0.549893,0.0690929,0.275372,-0.435268,-0.329526,0.332392,-0.778724
1.80496,-0.334742,1.06072,-0.666325,1.06639,-0.55024,0.0707216,0.272566,-0.441161,-0.334348,0.337268,-0.780527
1.81498,-0.34015,1.05779,-0.664551,1.07333,-0.550492,0.072255,0.269556,-0.447568,-0.338738,0.341709,-0.782461
1.8251,-0.345489,1.05494,-0.662843,1.08042,-0.550728,0.0737652,0.266512,-0.454087,-0.343031,0.346052,-0.784416
1.83507,-0.350551,1.05239,-0.661402,1.0881,-0.550898,0.0751833,0.263332,-0.461051,-0.346937,0.350006,-0.786459
1.84514,-0.355552,1.04992,-0.660023,1.09589,-0.551058,0.0765793,0.260137,-0.468111,-0.350757,0.353873,-0.788512
1.85515,-0.360306,1.04774,-0.658888,1.10418,-0.551176,0.0778863,0.256879,-0.475549,-0.354236,0.357394,-0.790605
1.86523,-0.365006,1.04562,-0.657807,1.11256,-0.551287,0.0791721,0.253625,-0.483066,-0.357641,0.360838,-0.792696
1.87514,-0.369486,1.04374,-0.656945,1.12134,-0.551374,0.0803724,0.250389,-0.490898,-0.360743,0.363975,-0.794775
1.88523,-0.373916,1.04193,-0.656131,1.13018,-0.551459,0.0815523,0.247176,-0.498792,-0.36377,0.367044,-0.79684
1.89533,-0.378569,1.04023,-0.655454,1.14018,-0.551541,0.0827608,0.243742,-0.507752,-0.366762,0.370115,-0.799046
1.9053,-0.38273,1.03878,-0.654904,1.14931,-0.551616,0.0838304,0.240684,-0.515969,-0.369408,0.372814,-0.80101
1.91562,-0.38673,1.03755,-0.654507,1.15854,-0.551689,0.0848325,0.237773,-0.524352,-0.37188,0.375294,-0.802881
1.92539,-0.390665,1.03641,-0.654168,1.16778,-0.551762,0.0858072,0.234954,-0.532784,-0.374278,0.377691,-0.804692
1.9354,-0.39445,1.03545,-0.653963,1.17706,-0.551837,0.086718,0.232349,-0.541332,-0.376506,0.379893,-0.806366
1.94546,-0.398174,1.03456,-0.653819,1.18632,-0.551915,0.0876029,0.229861,-0.549912,-0.37827,0.382022,-0.807965
1.9556,-0.401754,1.03385,-0.653851,1.19555,-0.551998,0.0884273,0.227645,-0.558564,-0.378955,0.383979,-0.809388
1.96565,-0.405273,1.03321,-0.653884,1.20472,-0.552085,0.0892273,0.22557,-0.567229,-0.379435,0.385866,-0.810721
1.97574,-0.408654,1.03273,-0.653917,1.21377,-0.552182,0.0899701,0.223823,-0.575924,-0.379435,0.387586,-0.811844
